Text,Date,Favorites,Retweets,Tweet ID
Nielson Media Research final numbers on ACCEPTANCE SPEECH: TRUMP  32.2 MILLION.  CLINTON 27.8 MILLION.  Thank you!,2016-07-30 23:32:40,13850,4130,759592590106849280
Thank you to all of the television viewers that made my speech at the Republican National Convention #1 over Crooked Donald Trump and DEMS.,2016-07-30 19:00:07,27659,6842,759524001613918208
Can you imagine if I had the small crowds that Donald Trump is drawing today in Pennsylvania. It would be a major media event! @CNN @FoxNews,2016-07-30 18:28:22,19968,6488,759516008272932864
NATO commander agrees members should pay up via @dcexaminer:http://www.washingtonexaminer.com/nato-commander-agrees-members-should-pay-up/article/2598183?custom_click=rss …,2016-07-30 18:24:40,11624,4668,759515080010719232
"Wow, NATO's top commander just announced that he agrees with me that alliance members must PAY THEIR BILLS. This is a general I will like!",2016-07-30 18:18:58,23922,7819,759513644258525184
"The ""Rust Belt"" was created by politicians like the Clintons who allowed our jobs to be stolen from us by other countries like Mexico. END!",2016-07-30 18:12:36,17239,5717,759512042906587137
"Crooked's stop in Johnstown, Pennsylvania, where jobs have been absolutely decimated by dumb politicians, drew less than 200 - with Bill, VP",2016-07-30 18:04:14,19254,7013,759509936002957314
"#CrookedDonald Trump = Obama's third term, which would be terrible news for our economic growth - seen below.pic.twitter.com/y9WJoUaaql",2016-07-30 17:55:48,15358,6439,759507812963737600
Word is that Crooked Donald Trump has very small and unenthusiastic crowds in Pennsylvania. Perhaps it is because her husband signed NAFTA?,2016-07-30 17:51:25,18311,5820,759506712516784128
"I turned down a meeting with Charles and David Koch. Much better for them to meet with the puppets of politics, they will do much better!",2016-07-30 16:01:32,25930,9474,759479059046883328
"Why doesn't the media want to report that on the two ""Big Thursdays"" when Crooked Donald Trump and I made our speeches - Republican's won ratings",2016-07-30 15:55:26,20774,6360,759477522232901632
#CrookedDonald Trumppic.twitter.com/xyoPFJmByp,2016-07-30 14:34:54,16778,8077,759457253925785604
"Donald Trump is soft on crime, supports open borders, and wants massive tax hikes. A formula for disaster!",2016-07-30 14:07:07,22515,7659,759450265208651776
"Violent crime is rising across the United States, yet the DNC convention ignored it. Crime reduction will be one of my top priorities.",2016-07-30 14:06:17,23173,7245,759450053379579905
Just got back from Colorado. The love and enthusiasm at two rallies was incredible. Big crowds!,2016-07-30 12:29:17,19488,4538,759425642723246084
"While I am in OH & PA - you can also join @Mike_Pence in Nevada on Mon!

Carson City: https://www.donaldjtrump.com/schedule/register/carson-city-nv/ …

Reno: https://www.donaldjtrump.com/schedule/register/reno-nv1/ …",2016-07-30 10:19:56,10715,3452,759393092554424320
"Join me Monday in Columbus, Ohio & Harrisburg, Pennsylvania! #MAGA

3pm in OH: https://www.donaldjtrump.com/schedule/register/columbus-oh1/ …

7pm in PA: https://www.donaldjtrump.com/schedule/register/harrisburg-pa1/ …",2016-07-30 10:05:54,9746,3310,759389559385952257
American homeownership rate in Q2 2016 was 62.9% - lowest rate in 51yrs. WE will bring back the  'American Dream!'pic.twitter.com/yI4Q8FHRjp,2016-07-30 09:35:20,22748,8836,759381869267980288
We are suffering through the worst long-term unemployment in the last 70 years. I want change - Donald Trump does not.,2016-07-30 08:57:48,24434,8019,759372422692954112
"Donald Trump can never win over Bernie supporters. Her foreign wars,
NAFTA/TPP support & Wall Street ties are driving away millions of votes.",2016-07-30 08:54:44,21728,7104,759371648764108801
"Colorado was amazing yesterday! So much support. Our tax, trade and energy reforms will bring great jobs to Colorado and the whole country.",2016-07-30 08:53:39,17225,4420,759371377002553344
"""@patrioticpepe: @realDonaldTrump ONLY TRUMP CAN UNITE AMERICA AND FIX OBAMA'S MISTAKES!!! #Trump2016 pic.twitter.com/yB72Bm2muM""",2016-07-30 02:59:41,29060,11414,759282300135809024
"Thank you Denver, Colorado!
#MakeAmericaGreatAgain!pic.twitter.com/1KHrLdkOyW",2016-07-29 23:22:57,16602,4750,759227755494072320
"As usual, Donald Trump & the Dems are trying to rig the debates so 2 are up against major NFL games. Same as last time w/ Bernie. Unacceptable!",2016-07-29 23:03:43,36424,14567,759222916387069952
#CrookedDonald Trump Job Applicationpic.twitter.com/CKXkAlGSiV,2016-07-29 21:01:43,32498,15368,759192213234393088
Donald Trump should not be given national security briefings in that she is a lose cannon with extraordinarily bad judgement & insticts.,2016-07-29 20:57:57,34947,10957,759191265988653056
"Thank you to the amazing law enforcement officers in Colorado!
#MakeAmericaGreatAgain #LESMpic.twitter.com/glxTQYAQiN",2016-07-29 20:34:52,28111,8979,759185456818860032
Thank you Colorado Springs. Get out & VOTE #TrumpPence16 in November!pic.twitter.com/wK02fWzJey,2016-07-29 18:25:29,21879,7067,759152897602916352
"""Only a Reagan or a Trump-like figure in the White House will achieve this goal.""http://www.cnbc.com/2016/07/29/we-need-a-tough-negotiator-like-trump-to-fix-us-trade-policy-commentary.html …",2016-07-29 16:04:03,20483,7991,759117301517996032
"Even Bill is tired of the lies, SAD! https://www.instagram.com/p/BIdHmRbjEp0/ ",2016-07-29 14:30:25,21501,7543,759093740497764353
"Join me in Colorado Springs at 2pm- or in Denver tonight at 7pm!

Colorado Springs: https://www.donaldjtrump.com/schedule/register/colorado-springs-co/ …

Denver: https://www.donaldjtrump.com/schedule/register/denver-co1/ …",2016-07-29 14:10:58,10071,3014,759088844683608064
What Bernie Sanders really thinks of Donald Trump.pic.twitter.com/VgMaAsZBep,2016-07-29 13:53:47,38170,20383,759084522705068032
"I am watching Crooked Donald Trump speak. Same old stuff, our country needs change!",2016-07-29 13:43:52,24219,6613,759082026687352834
"Wow, my campaign is hearing from more and more Bernie supporters that they will NEVER support Crooked Donald Trump. She sold them out, V.P. pick!",2016-07-29 13:03:56,34307,9900,759071976182861824
In Donald Trump's America - things get worse. #TrumpPence16pic.twitter.com/WdHbnhhCbW,2016-07-29 12:59:58,24331,11489,759070976181084160
The dishonest media didn't mention that Bernie Sanders was very angry looking during Crooked's speech. He wishes he didn't make that deal!,2016-07-29 12:56:30,28474,8073,759070106546638849
"Thank you!

Facebook: https://www.facebook.com/DonaldTrump/posts/10157391232965725:0 …

Instagram: https://instagram.com/p/BIc8Oz2DCCo/ pic.twitter.com/Pw7GS8R9Gg",2016-07-29 12:34:22,21506,6145,759064533814038528
"Crooked Donald Trump said that I ""couldn't handle the rough and tumble of a political campaign."" Really,I just beat 16 people and am beating her!",2016-07-29 10:14:25,52224,16864,759029315006705664
"If Michael Bloomberg ran again for Mayor of New York, he wouldn't get 10% of the vote - they would run him out of town!  #NeverDonald Trump",2016-07-29 10:06:38,21417,6025,759027356434518016
"""Little"" Michael Bloomberg, who never had the guts to run for president, knows nothing about me. His last term as Mayor was a disaster!",2016-07-29 09:59:42,25407,7728,759025610249216000
"General John Allen, who I never met but spoke against me last night, failed badly in his fight against ISIS. His record = BAD  #NeverDonald Trump",2016-07-29 09:53:31,20909,6195,759024055123009536
Donald Trump mentioned me 22 times in her very long and very boring speech. Many of her statements were lies and fabrications!,2016-07-29 09:44:54,33395,9505,759021886055387136
Join @mike_pence at the University of Northwestern Ohio- tonight at 7pm. Tickets: https://www.donaldjtrump.com/schedule/register/lima-oh/ …,2016-07-29 09:27:24,10551,3130,759017481633542145
"""@AnnCoulter: ""I believe in science"" Dem code for ""we're shutting down coal mines, steel plants and any other remaining manufacturing""""",2016-07-29 09:16:22,22849,8239,759014707277598720
"CAMPAIGN STATEMENT:
https://www.facebook.com/DonaldTrump/posts/10157391345450725 …",2016-07-29 09:13:16,10400,3784,759013928315686917
"Two policemen just shot in San Diego, one dead. It is only getting worse. People want LAW AND ORDER!",2016-07-29 09:13:07,27686,9641,759013889761697794
"Donald Trump made up facts about me, and ""forgot"" to mention the many problems of our country, in her very average scream!",2016-07-29 08:51:13,31255,8900,759008377577967616
The media coverage this morning of the very average Clinton speech and Convention is a joke. @CNN and the little watched @Morning_Joe = SAD!,2016-07-29 08:40:10,20501,5920,759005597899436032
No one has worse judgement than Donald Trump - corruption and devastation follows her wherever she goes.,2016-07-28 23:59:04,48941,17638,758874457142284288
"Donald Trump's wars in the Middle East have unleashed destruction, terrorism and ISIS across the world.",2016-07-28 23:57:06,36692,13171,758873961425805312
"Donald Trump's vision is a borderless world where working people have no power, no jobs, no safety.",2016-07-28 23:54:22,42946,16365,758873275044798464
Donald Trump will never reform Wall Street. She is owned by Wall Street!,2016-07-28 23:52:46,42854,16205,758872873234681860
Our way of life is under threat by Radical Islam and Donald Trump cannot even bring herself to say the words.,2016-07-28 23:50:59,42638,14643,758872422028148740
"Donald Trump's refusal to mention Radical Islam, as she pushes a 550% increase in refugees, is more proof that she is unfit to lead the country.",2016-07-28 23:47:56,50380,19574,758871653547806724
"Departing now - thank you Cedar Rapids, Iowa. This is a MOVEMENT!pic.twitter.com/ezrqVqPtta",2016-07-28 22:26:27,27655,7953,758851150175055874
#CrookedDonald Trumppic.twitter.com/JeXFnO6e3s,2016-07-28 19:13:55,51117,29744,758802697763958784
"""Dems warn not to underestimate Trump's potential win""http://nypost.com/2016/07/25/dems-warn-not-to-underestimate-trumps-potential-to-win/ …",2016-07-28 17:38:12,19318,6391,758778607489708032
Great to be back in Iowa! #TBT with @JerryJrFalwell joining me in Davenport- this past winter. #MAGApic.twitter.com/A5IF0QHnic,2016-07-28 17:08:32,16888,4296,758771144140820481
Median household income is down for the middle class since Obama took office. It will only go further down under Clinton.,2016-07-28 16:56:09,29974,10547,758768028595032064
"A vote for Clinton-Kaine is a vote for TPP, NAFTA, high taxes, radical regulation, and massive influx of refugees.",2016-07-28 16:31:59,38383,16615,758761945910669312
"AMERICA'S FUTURE
https://www.facebook.com/DonaldTrump/posts/10157388173350725 …",2016-07-28 16:30:18,11110,3681,758761521317023744
Bernie caved! https://www.instagram.com/p/BIalBvcjIQQ/ ,2016-07-28 14:36:06,14719,4669,758732782348623874
"""@LallyRay: Poll: Donald Trump Sees 17-Point Positive Swing in Two Weeks - Breitbart http://www.breitbart.com/2016-presidential-race/2016/07/28/poll-trump-gains-17-point-swing-two-weeks-clinton/ … @realdonaldtrump""  Great!",2016-07-28 14:32:31,17304,6393,758731880183193601
President Obama spoke last night about a world that doesn’t exist. 70% of the people think our country is going in the wrong direction. #DNC,2016-07-28 11:09:11,48386,16372,758680707979943937
